stage,routes,template_text,stat_effect,weight,condition_stat,condition_value,success_text,failure_text,success_effect,failure_effect
infancy,osananajimi_mimic_sound,"{{name}}ちゃんが「ブブブ」と口で音を鳴らし、{{user_name}} の反応を待っていた。","{}",1,intelligence,10,"{{name}}ちゃんが「ブブブ」と口で音を鳴らすと、{{user_name}} はそれを真似して同じ音を出そうとした。少しずれてはいたが、二人は互いの出す音を何度も繰り返し、会話を楽しむかのように応じ合った。","{{name}}ちゃんが「ブブブ」と楽しそうに口で音を鳴らし、{{user_name}} の反応を待っていた。しかし、{{user_name}} はその音に全く反応せず、ただ無表情で天井を見つめ続けた。{{name}}ちゃんは、二度とその音を鳴らそうとしなかった。","{""intelligence"": 5}","{""intelligence"": -5}"
infancy,osananajimi_finger_touch,"ベビーベッドの柵越しに、{{name}}ちゃんの小さな指が{{user_name}} の手に触れた。","{}",1,stamina,10,"ベビーベッドの柵越しに、{{name}}ちゃんの小さな指が{{user_name}} の手に触れた。{{user_name}} は反射的にその指をぎゅっと握り返した。{{name}}ちゃんは抵抗するどころか、安心したようにそのまま静かに眠ってしまった。","ベビーベッドの柵越しに、{{name}}ちゃんの小さな指が{{user_name}} の手に触れた。しかし、{{user_name}} はすぐに興味を失い、その指を振り払うかのように手を激しく動かした。{{name}}ちゃんは、一瞬戸惑った様子で指を引っ込めた。","{""stamina"": 5}","{""stamina"": -5}"
infancy,osananajimi_rattle_share,"{{user_name}}が持っていたお気に入りのガラガラを、{{name}}ちゃんが欲しそうに見つめていた。","{}",1,sense,10,"{{user_name}}が持っていたお気に入りのガラガラを、{{name}}ちゃんが欲しそうに見つめていた。{{user_name}} は少し迷った後、そのガラガラを{{name}}ちゃんに向けて差し出した。{{name}}ちゃんはすぐにそれを手に取り、嬉しそうに音を鳴らした。","{{user_name}} が持っていたお気に入りのガラガラを、{{name}}ちゃんが欲しそうに見つめていた。{{user_name}} は{{name}}ちゃんの視線に気づいたが、譲るどころか、そのガラガラを自分の体の下に隠し、独占した。","{""sense"": 5}","{""sense"": -5}"
toddler,osananajimi_secret_stone,"{{user_name}} が拾ってきた小さな石を、{{name}}ちゃんに見せると、「すごい、宇宙から来た石みたい！」と目を輝かせた。","{}",2,intelligence,10,"{{user_name}} が拾ってきた小さな石を、{{name}}ちゃんに見せると、「すごい、宇宙から来た石みたい！」と目を輝かせた。二人はそれを{{user_name}} の家の裏庭にある植木鉢に埋め、「誰にも言わない秘密」にした。","{{name}}ちゃんが、{{user_name}} が好きな絵本を読んであげようと、一生懸命文字を読んでくれた。しかし、{{user_name}} は途中で飽きてしまい、絵本のページを勝手にめくって話の先へ進めようとした。","{""intelligence"": 5}","{""intelligence"": -10}"
toddler,osananajimi_sandcastle_fortress,"公園の砂場で、二人で大きな「お城」を作っていた。何度も崩れるが、そのたびに二人で笑いながら、今度こそ崩れないようにと二人で土を固めた。","{}",2,stamina,10,"公園の砂場で、二人で大きな「お城」を作っていた。何度も崩れるが、そのたびに二人で笑いながら、今度こそ崩れないようにと二人で土を固めた。完成したお城は、夕日が沈むまでそのままにしておいた。","公園で走っていた{{name}}ちゃんが転んで泣き出してしまった。{{user_name}} はその場にいたにもかかわらず、面倒だと感じ、助け起こすどころか、そのまま知らん顔をして遊び続けてしまった。","{""stamina"": 5}","{""stamina"": -5}"
toddler,osananajimi_playhouse_role,"雨の日、二人で{{name}}ちゃんの部屋でおままごとをしていた。{{user_name}}が父親役をしたいと言うと、{{name}}ちゃんは「ダメ、私はお母さんなんだから、{{user_name}}は赤ちゃん！」と譲らなかった。","{}",2,sense,10,"雨の日、二人で{{name}}ちゃんの部屋でおままごとをしていた。{{user_name}}が父親役をしたいと言うと、{{name}}ちゃんは「ダメ、私はお母さんなんだから、{{user_name}}は赤ちゃん！」と譲らなかった。","{{name}}ちゃんが楽しそうに持っていたおもちゃを、{{user_name}} が力づくで奪い取ってしまった。{{name}}ちゃんが泣き出しても、{{user_name}} はおもちゃを返しに来た大人に怒られるまで、決してそれを手放さなかった。","{""sense"": 5}","{""sense"": -10}"
school,osananajimi_library_hideout,"近所の市立図書館の児童書コーナーで、二人は毎回同じ場所、棚の奥の隅にある大きなクッションを奪い合っていた。","{}",3,intelligence,20,"近所の市立図書館の児童書コーナーで、二人は毎回同じ場所、棚の奥の隅にある大きなクッションを奪い合っていた。結局、一つのクッションに二人でぎゅうぎゅうになって座り、{{user_name}}が{{name}}ちゃんに、知っている面白い物語を読み聞かせた。","自由研究の際、{{name}}ちゃんが困っている様子だったので、{{user_name}} はヒントを知っていたにもかかわらず、教えるのを拒否した。「自分で考えなよ」と突き放し、{{name}}ちゃんの研究は期限内に完成しなかった。","{""intelligence"": 10}","{""intelligence"": -10}"
school,osananajimi_secret_practice,"{{user_name}}が逆上がりができずに落ち込んでいると、{{name}}ちゃんは誰にも見つからないようにと、放課後の誰もいない校庭の隅っこで、一緒に何度も補助してくれた。","{}",3,stamina,20,"{{user_name}}が逆上がりができずに落ち込んでいると、{{name}}ちゃんは誰にも見つからないようにと、放課後の誰もいない校庭の隅っこで、一緒に何度も補助してくれた。ようやくできた時、二人は誰にも聞かれない小さな声で「やった！」と喜び合った。","{{user_name}}と{{name}}ちゃんが二人だけの「秘密の練習」（例：逆上がり）をしていたことを、{{user_name}} がクラスの友人に面白おかしく話してしまった。{{name}}ちゃんはその話を聞き、{{user_name}} には何も言わなかったが、次の日から一人で練習をするようになった。","{""stamina"": 10}","{""stamina"": -20}"
school,osananajimi_eraser_dispute,"どちらが持っていた消しゴムを借りたかで、二人は大きな声で言い合いになってしまった。","{}",3,sense,20,"どちらが持っていた消しゴムを借りたかで、二人は大きな声で言い合いになってしまった。その日の夕食後、{{name}}ちゃんは何も言わずに{{user_name}}の家のポストに、新品の消しゴムと小さな手紙を入れておいた。","{{name}}ちゃんが風邪で学校を休んだ日。{{user_name}} は見舞いに行くこともなく、連絡すらせず、一日中ゲームをして過ごした。{{name}}ちゃんが登校した日も、{{user_name}} は体調を気遣う言葉をかけなかった。","{""sense"": 10}","{""sense"": -5}"
youth,osananajimi_one_earphone,"テスト期間中、二人はそれぞれの部屋で勉強していたが、集中できない{{user_name}}が{{name}}ちゃんにチャットを送った。","{}",4,intelligence,20,"テスト期間中、二人はそれぞれの部屋で勉強していたが、集中できない{{user_name}}が{{name}}ちゃんにチャットを送った。しばらくして、{{name}}ちゃんが{{user_name}}の家の前に来て、一つのイヤホンの片方を差し出した。そのまま何も話さず、同じ音楽を聴きながら10分間だけ過ごした。","期末テスト直前。{{name}}ちゃんが苦手な分野の勉強で躓いていたが、{{user_name}} は「教えたら負ける気がする」という意地から、知っていた重要な解法を教えるのを渋った。結果、{{name}}ちゃんはそのテストで悪い点数を取ってしまった。","{""intelligence"": 10}","{""intelligence"": -5}"
youth,osananajimi_defeat_railway,"{{user_name}}が部活の練習試合で大敗し、落ち込んで帰っていると、いつもより1本遅い電車に乗っていた{{name}}ちゃんと偶然ホームで出会った。","{}",4,stamina,20,"{{user_name}}が部活の練習試合で大敗し、落ち込んで帰っていると、いつもより1本遅い電車に乗っていた{{name}}ちゃんと偶然ホームで出会った。いつもの他愛ない話をしているうちに、{{user_name}}は試合の結果を話すのを忘れてしまった。","{{name}}ちゃんが部活動の大会直前で、膝を痛めながらも無理な練習を続けているのを知っていた。しかし、{{user_name}} は自分の練習に集中しており、一言も声をかけず、放置した。疲労がピークに達した{{name}}ちゃんは、大会当日にベストなパフォーマンスを出せなかった。","{""stamina"": 10}","{""stamina"": -10}"
youth,osananajimi_future_support,"将来の夢について、誰にも話せなかった漠然とした不安を、{{user_name}}は{{name}}ちゃんにだけ打ち明けた。","{}",4,sense,20,"将来の夢について、誰にも話せなかった漠然とした不安を、{{user_name}}は{{name}}ちゃんにだけ打ち明けた。{{name}}ちゃんは、その夢について具体的なアドバイスをするのではなく、「{{user_name}} が決めたことなら、ずっと応援するよ」とだけ言った。","{{name}}ちゃんが友人との関係で深く悩んでおり、沈んだ表情でいた。しかし、思春期特有の面倒くささから、{{user_name}} はその変化に気づかないふりをし、最後まで話題に触れることはなかった。","{""sense"": 10}","{""sense"": -20}"
